event_date,event_location,fighter1,fighter2,result_raw,winner,kd_1,kd_2,str_1,str_2,td_1,td_2,sub_1,sub_2,weight_class,method,method_detail,round,time
"June 27, 2026","Baku, Azerbaijan",Rafael Fiziev,Manuel Torres,win,Rafael Fiziev,1,0,25,22,2,0,0,0,Lightweight,KO/TKO,Punches,2,0:15
"June 27, 2026","Baku, Azerbaijan",Shara Magomedov,Michel Pereira,win,Shara Magomedov,0,1,52,35,0,0,0,0,Middleweight,U-DEC,,3,5:00
"June 27, 2026","Baku, Azerbaijan",Matheus Camilo,Nazim Sadykhov,win,Matheus Camilo,1,0,4,0,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:31
"June 27, 2026","Baku, Azerbaijan",Asu Almabayev,Charles Johnson,win,Asu Almabayev,0,0,28,21,6,0,1,1,Flyweight,SUB,Suloev Stretch,3,3:33
"June 27, 2026","Baku, Azerbaijan",Ikram Aliskerov,Brunno Ferreira,win,Ikram Aliskerov,0,0,47,19,5,0,1,0,Middleweight,U-DEC,,3,5:00
"June 27, 2026","Baku, Azerbaijan",Abus Magomedov,Michal Oleksiejczuk,win,Abus Magomedov,1,0,10,5,0,0,1,0,Middleweight,SUB,Guillotine Choke,1,3:25
"June 27, 2026","Baku, Azerbaijan",Farman Hasanov,Eric Nolan,win,Farman Hasanov,0,0,21,15,17,0,0,0,Welterweight,U-DEC,,3,5:00
"June 27, 2026","Baku, Azerbaijan",Abdul Rakhman Yakhyaev,Julius Walker,win,Abdul Rakhman Yakhyaev,1,0,6,0,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:08
"June 27, 2026","Baku, Azerbaijan",Nursulton Ruziboev,Andrey Pulyaev,win,Nursulton Ruziboev,0,0,1,2,2,0,1,0,Middleweight,SUB,Rear Naked Choke,1,3:58
"June 27, 2026","Baku, Azerbaijan",Kaan Ofli,Javier Reyes,win,Kaan Ofli,1,0,17,7,0,0,1,0,Featherweight,SUB,Arm Triangle,1,4:16
"June 27, 2026","Baku, Azerbaijan",Daniil Donchenko,Theodor Berggren,win,Daniil Donchenko,2,0,71,23,0,0,0,0,Welterweight,KO/TKO,Punches,2,1:35
"June 27, 2026","Baku, Azerbaijan",Jean Matsumoto,Bekzat Almakhan,win,Jean Matsumoto,0,1,79,69,2,0,0,0,Bantamweight,U-DEC,,3,5:00
"June 27, 2026","Baku, Azerbaijan",Tahir Abdullayev,Jefferson Nascimento,win,Tahir Abdullayev,0,0,37,35,2,0,0,0,Welterweight,KO/TKO,Punches,3,4:28
"June 20, 2026","Las Vegas, Nevada, USA",Manel Kape,Kyoji Horiguchi,win,Manel Kape,1,0,19,27,0,2,0,0,Flyweight,KO/TKO,Punches,3,2:42
"June 20, 2026","Las Vegas, Nevada, USA",Navajo Stirling,Ion Cutelaba,win,Navajo Stirling,0,0,52,19,0,5,0,1,Light Heavyweight,KO/TKO,Punches,2,3:23
"June 20, 2026","Las Vegas, Nevada, USA",Christian Rodriguez,Hyder Amil,win,Christian Rodriguez,1,0,20,23,1,0,1,0,Featherweight,SUB,Guillotine Choke,1,3:43
"June 20, 2026","Las Vegas, Nevada, USA",Murtazali Magomedov,Melsik Baghdasaryan,win,Murtazali Magomedov,0,0,5,3,1,0,1,0,Featherweight,SUB,Twister,1,1:17
"June 20, 2026","Las Vegas, Nevada, USA",Vinicius Oliveira,Andre Fili,win,Vinicius Oliveira,1,0,105,40,0,0,0,0,Featherweight,KO/TKO,Elbows,2,4:56
"June 20, 2026","Las Vegas, Nevada, USA",Kevin Borjas,Andre Lima,win,Kevin Borjas,0,0,51,51,0,0,0,0,Flyweight,U-DEC,,3,5:00
"June 20, 2026","Las Vegas, Nevada, USA",Bia Mesquita,Melissa Mullins,win,Bia Mesquita,0,0,3,10,0,1,1,0,Women's Bantamweight,SUB,Armbar,1,3:16
"June 20, 2026","Las Vegas, Nevada, USA",Mitch Raposo,Allan Nascimento,win,Mitch Raposo,0,1,38,58,0,0,0,0,Flyweight,S-DEC,,3,5:00
"June 20, 2026","Las Vegas, Nevada, USA",Gaston Bolanos,Michael Aswell Jr.,win,Gaston Bolanos,0,0,87,105,1,0,0,0,Featherweight,U-DEC,,3,5:00
"June 20, 2026","Las Vegas, Nevada, USA",Levan Chokheli,Leon Shahbazyan,win,Levan Chokheli,1,0,6,0,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:23
"June 20, 2026","Las Vegas, Nevada, USA",Luana Santos,Karol Rosa,win,Luana Santos,0,0,9,7,2,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"June 20, 2026","Las Vegas, Nevada, USA",Shane Collins,Otari Tanzilovi,win,Shane Collins,0,0,76,58,0,5,3,0,Featherweight,U-DEC,,3,5:00
"June 14, 2026","Washington, DC, USA",Justin Gaethje,Ilia Topuria,win,Justin Gaethje,0,1,91,97,0,1,0,0,Lightweight,KO/TKO,,4,5:00
"June 14, 2026","Washington, DC, USA",Ciryl Gane,Alex Pereira,win,Ciryl Gane,1,0,54,12,0,0,0,0,Heavyweight,KO/TKO,Punches,2,1:27
"June 14, 2026","Washington, DC, USA",Sean O'Malley,Aiemann Zahabi,win,Sean O'Malley,1,0,41,32,0,0,0,0,Bantamweight,KO/TKO,Punches,2,4:02
"June 14, 2026","Washington, DC, USA",Josh Hokit,Derrick Lewis,win,Josh Hokit,1,0,86,7,2,0,1,0,Heavyweight,KO/TKO,Punches,2,4:09
"June 14, 2026","Washington, DC, USA",Mauricio Ruffy,Michael Chandler,win,Mauricio Ruffy,2,0,19,3,0,0,0,0,Lightweight,KO/TKO,Punches,1,4:29
"June 14, 2026","Washington, DC, USA",Bo Nickal,Kyle Daukaus,win,Bo Nickal,1,0,16,2,1,0,0,0,Middleweight,KO/TKO,Punches,1,4:34
"June 14, 2026","Washington, DC, USA",Diego Lopes,Steve Garcia,win,Diego Lopes,1,0,24,47,0,0,0,0,Featherweight,KO/TKO,Punches,2,2:42
"June 06, 2026","Las Vegas, Nevada, USA",Gabriel Bonfim,Belal Muhammad,win,Gabriel Bonfim,0,0,128,86,0,0,0,0,Welterweight,U-DEC,,5,5:00
"June 06, 2026","Las Vegas, Nevada, USA",Brendan Allen,Edmen Shahbazyan,win,Brendan Allen,0,0,89,90,1,0,0,0,Middleweight,U-DEC,,3,5:00
"June 06, 2026","Las Vegas, Nevada, USA",Tom Nolan,Fares Ziam,win,Tom Nolan,0,0,31,16,2,3,0,1,Lightweight,U-DEC,,3,5:00
"June 06, 2026","Las Vegas, Nevada, USA",Bryce Mitchell,Santiago Luna,win,Bryce Mitchell,0,0,22,9,2,0,2,1,Bantamweight,SUB,Arm Triangle,3,4:52
"June 06, 2026","Las Vegas, Nevada, USA",Iwo Baraniewski,Junior Tafa,win,Iwo Baraniewski,1,0,6,0,0,0,0,0,Light Heavyweight,KO/TKO,Kick,1,1:25
"June 06, 2026","Las Vegas, Nevada, USA",Alessandro Costa,Matt Schnell,win,Alessandro Costa,1,0,19,8,0,0,0,0,Catch Weight,KO/TKO,Punch,1,2:28
"June 06, 2026","Las Vegas, Nevada, USA",Marcus McGhee,John Yannis,win,Marcus McGhee,0,0,79,55,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"June 06, 2026","Las Vegas, Nevada, USA",Edgar Chairez,Bruno Silva,win,Edgar Chairez,2,0,24,17,0,0,1,0,Flyweight,SUB,Rear Naked Choke,1,4:13
"June 06, 2026","Las Vegas, Nevada, USA",Chelsea Chandler,Priscila Cachoeira,win,Chelsea Chandler,1,0,11,7,0,1,1,0,Women's Bantamweight,SUB,Armbar,1,3:42
"June 06, 2026","Las Vegas, Nevada, USA",Joanderson Brito,Jordan Leavitt,win,Joanderson Brito,0,0,5,7,0,0,1,1,Featherweight,SUB,Guillotine Choke,1,4:19
"June 06, 2026","Las Vegas, Nevada, USA",Jeisla Chaves,Yuneisy Duben,win,Jeisla Chaves,0,0,64,62,3,2,1,0,Women's Flyweight,S-DEC,,3,5:00
"June 06, 2026","Las Vegas, Nevada, USA",Ketlen Souza,Ariane Carnelossi,win,Ketlen Souza,1,0,13,8,0,0,0,0,Women's Strawweight,KO/TKO,Kick,1,1:34
"May 30, 2026","Macau, China",Song Yadong,Deiveson Figueiredo,win,Song Yadong,0,0,24,9,1,1,1,0,Bantamweight,SUB,Guillotine Choke,2,4:42
"May 30, 2026","Macau, China",Alonzo Menifield,Zhang Mingyang,win,Alonzo Menifield,2,0,28,16,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,4:15
"May 30, 2026","Macau, China",Sergei Pavlovich,Tallison Teixeira,win,Sergei Pavlovich,1,0,7,0,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:39
"May 30, 2026","Macau, China",Kai Asakura,Cameron Smotherman,win,Kai Asakura,1,0,9,3,0,0,0,0,Bantamweight,KO/TKO,Punch,1,1:50
"May 30, 2026","Macau, China",Jake Matthews,Carlston Harris,win,Jake Matthews,1,0,55,27,0,0,0,0,Welterweight,U-DEC,,3,5:00
"May 30, 2026","Macau, China",Alex Perez,Sumudaerji,nc/nc,,0,1,9,26,0,1,1,0,Flyweight,CNC,,2,1:45
"May 30, 2026","Macau, China",Luis Felipe Dias,YiSak Lee,win,Luis Felipe Dias,1,0,21,10,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:40
"May 30, 2026","Macau, China",Jose Souza,Ding Meng,win,Jose Souza,0,0,72,63,0,0,0,0,Welterweight,S-DEC,,3,5:00
"May 30, 2026","Macau, China",Cody Haddon,Aoriqileng,win,Cody Haddon,1,0,57,6,2,0,0,1,Bantamweight,KO/TKO,Knee,2,2:11
"May 30, 2026","Macau, China",Rei Tsuruya,Luis Gurule,win,Rei Tsuruya,0,0,17,1,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,3:19
"May 30, 2026","Macau, China",Angela Hill,Xiong Jingnan,win,Angela Hill,0,0,122,68,1,0,1,0,Women's Strawweight,U-DEC,,3,5:00
"May 30, 2026","Macau, China",Rodrigo Vera,Zhu Kangjie,win,Rodrigo Vera,1,0,17,7,1,0,0,0,Featherweight,KO/TKO,Punches,1,1:50
"May 30, 2026","Macau, China",Jaqueline Amorim,Loma Lookboonmee,win,Jaqueline Amorim,0,0,0,3,0,0,3,0,Women's Strawweight,SUB,Armbar,1,4:04
"May 16, 2026","Las Vegas, Nevada, USA",Arnold Allen,Melquizael Costa,win,Arnold Allen,1,0,98,100,7,0,0,0,Featherweight,U-DEC,,5,5:00
"May 16, 2026","Las Vegas, Nevada, USA",Dooho Choi,Daniel Santos,win,Dooho Choi,1,0,72,72,0,0,0,0,Featherweight,KO/TKO,Punch,2,4:29
"May 16, 2026","Las Vegas, Nevada, USA",Juan Diaz,Malcolm Wellmaker,win,Juan Diaz,0,0,13,15,5,0,1,0,Bantamweight,SUB,Rear Naked Choke,2,4:08
"May 16, 2026","Las Vegas, Nevada, USA",Modestas Bukauskas,Christian Edwards,win,Modestas Bukauskas,0,0,36,36,0,0,0,0,Catch Weight,S-DEC,,3,5:00
"May 16, 2026","Las Vegas, Nevada, USA",Benardo Sopaj,Timmy Cuamba,win,Benardo Sopaj,1,0,37,29,1,0,2,0,Bantamweight,SUB,Rear Naked Choke,2,2:25
"May 16, 2026","Las Vegas, Nevada, USA",Khaos Williams,Nikolay Veretennikov,win,Khaos Williams,1,0,21,13,0,0,0,0,Welterweight,KO/TKO,Punches,1,3:31
"May 16, 2026","Las Vegas, Nevada, USA",Ivan Erslan,Tuco Tokkos,win,Ivan Erslan,0,0,37,54,2,0,0,1,Light Heavyweight,U-DEC,,3,5:00
"May 16, 2026","Las Vegas, Nevada, USA",Tommy Gantt,Artur Minev,win,Tommy Gantt,0,0,28,8,6,0,0,0,Lightweight,KO/TKO,Punches,2,2:51
"May 16, 2026","Las Vegas, Nevada, USA",Ketlen Vieira,Jacqueline Cavalcanti,win,Ketlen Vieira,0,0,30,53,1,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"May 16, 2026","Las Vegas, Nevada, USA",Cody Brundage,Andre Petroski,win,Cody Brundage,1,0,43,8,0,1,0,0,Middleweight,KO/TKO,Punches,2,0:44
"May 16, 2026","Las Vegas, Nevada, USA",Alice Ardelean,Polyana Viana,win,Alice Ardelean,0,0,46,34,1,0,1,0,Women's Strawweight,SUB,Calf Slicer,2,4:36
"May 16, 2026","Las Vegas, Nevada, USA",Luis Gurule,Daniel Barez,win,Luis Gurule,0,0,149,113,1,1,1,0,Flyweight,U-DEC,,3,5:00
"May 16, 2026","Las Vegas, Nevada, USA",Nicolle Caliari,Shauna Bannon,win,Nicolle Caliari,0,0,20,29,4,0,1,0,Women's Strawweight,SUB,Arm Triangle,3,3:08
"May 09, 2026","Newark, New Jersey, USA",Sean Strickland,Khamzat Chimaev,win,Sean Strickland,0,0,123,98,0,9,0,0,Middleweight,S-DEC,,5,5:00
"May 09, 2026","Newark, New Jersey, USA",Joshua Van,Tatsuro Taira,win,Joshua Van,2,0,131,55,1,8,2,0,Flyweight,KO/TKO,Punches,5,1:32
"May 09, 2026","Newark, New Jersey, USA",Alexander Volkov,Waldo Cortes Acosta,win,Alexander Volkov,0,0,88,54,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"May 09, 2026","Newark, New Jersey, USA",Sean Brady,Joaquin Buckley,win,Sean Brady,0,0,77,5,4,0,0,0,Welterweight,U-DEC,,3,5:00
"May 09, 2026","Newark, New Jersey, USA",King Green,Jeremy Stephens,win,King Green,0,0,57,5,1,0,1,1,Lightweight,SUB,Rear Naked Choke,1,4:20
"May 09, 2026","Newark, New Jersey, USA",Ateba Gautier,Ozzy Diaz,win,Ateba Gautier,1,0,23,6,0,0,0,0,Middleweight,KO/TKO,Punch,2,1:10
"May 09, 2026","Newark, New Jersey, USA",Yaroslav Amosov,Joel Alvarez,win,Yaroslav Amosov,0,0,16,8,6,0,1,0,Welterweight,SUB,Arm Triangle,2,1:13
"May 09, 2026","Newark, New Jersey, USA",Grant Dawson,Mateusz Rebecki,win,Grant Dawson,0,1,35,33,1,1,4,0,Lightweight,SUB,Rear Naked Choke,3,4:42
"May 09, 2026","Newark, New Jersey, USA",Jim Miller,Jared Gordon,win,Jim Miller,0,0,9,7,0,2,1,0,Lightweight,SUB,Guillotine Choke,1,3:29
"May 09, 2026","Newark, New Jersey, USA",Roman Kopylov,Marco Tulio,win,Roman Kopylov,3,0,61,62,1,0,0,0,Middleweight,U-DEC,,3,5:00
"May 09, 2026","Newark, New Jersey, USA",Pat Sabatini,William Gomis,win,Pat Sabatini,0,0,25,23,3,0,0,0,Featherweight,U-DEC,,3,5:00
"May 09, 2026","Newark, New Jersey, USA",Baisangur Susurkaev,Djorden Santos,win,Baisangur Susurkaev,0,0,107,78,1,0,1,0,Middleweight,SUB,Rear Naked Choke,3,4:12
"May 09, 2026","Newark, New Jersey, USA",Jose Ochoa,Clayton Carpenter,win,Jose Ochoa,1,0,153,68,0,1,0,0,Flyweight,U-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Carlos Prates,Jack Della Maddalena,win,Carlos Prates,3,0,104,41,0,2,0,0,Welterweight,KO/TKO,Elbows,3,3:17
"May 02, 2026","Perth, Western Australia, Australia",Quillan Salkilld,Beneil Dariush,win,Quillan Salkilld,1,0,12,3,0,2,0,0,Lightweight,KO/TKO,Punches,1,3:29
"May 02, 2026","Perth, Western Australia, Australia",Steve Erceg,Tim Elliott,win,Steve Erceg,0,0,136,90,1,2,0,0,Flyweight,U-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Marwan Rahiki,Ollie Schmid,win,Marwan Rahiki,1,0,22,9,0,0,0,0,Featherweight,KO/TKO,Punch,1,2:47
"May 02, 2026","Perth, Western Australia, Australia",Brando Pericic,Shamil Gaziev,win,Brando Pericic,1,0,89,41,0,1,0,0,Heavyweight,KO/TKO,Punch,2,3:44
"May 02, 2026","Perth, Western Australia, Australia",Louie Sutherland,Tai Tuivasa,win,Louie Sutherland,0,0,21,13,5,0,0,0,Heavyweight,U-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Cam Rowston,Robert Bryczek,win,Cam Rowston,0,0,79,17,3,0,0,1,Middleweight,U-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Junior Tafa,Kevin Christian,win,Junior Tafa,0,0,21,13,0,0,0,0,Light Heavyweight,KO/TKO,Elbows,1,2:42
"May 02, 2026","Perth, Western Australia, Australia",Jacob Malkoun,Gerald Meerschaert,win,Jacob Malkoun,0,0,36,32,3,0,0,3,Middleweight,U-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Colby Thicknesse,Vince Morales,win,Colby Thicknesse,0,0,46,48,0,2,4,0,Bantamweight,U-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Wes Schultz,Ben Johnston,win,Wes Schultz,1,0,12,12,0,2,5,0,Middleweight,SUB,Guillotine Choke,3,1:50
"May 02, 2026","Perth, Western Australia, Australia",Jonathan Micallef,Themba Gorimbo,win,Jonathan Micallef,0,0,55,39,1,2,0,0,Welterweight,S-DEC,,3,5:00
"May 02, 2026","Perth, Western Australia, Australia",Kody Steele,Dom Mar Fan,win,Kody Steele,0,0,1,1,1,0,1,0,Lightweight,SUB,Heel Hook,1,3:56
"April 25, 2026","Las Vegas, Nevada, USA",Aljamain Sterling,Youssef Zalal,win,Aljamain Sterling,0,0,46,35,6,0,1,1,Featherweight,U-DEC,,5,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Joselyne Edwards,Norma Dumont,win,Joselyne Edwards,0,0,70,51,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Rafa Garcia,Alexander Hernandez,win,Rafa Garcia,0,0,59,50,4,0,0,0,Lightweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Davey Grant,Adrian Luna Martinetti,win,Davey Grant,0,0,162,99,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Raoni Barcelos,Montel Jackson,win,Raoni Barcelos,0,1,21,35,6,0,2,0,Bantamweight,S-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Ryan Spann,Marcus Buchecha,win,Ryan Spann,1,0,15,8,0,1,0,1,Heavyweight,KO/TKO,Punch,2,2:10
"April 25, 2026","Las Vegas, Nevada, USA",Eric McConico,Rodolfo Vieira,win,Eric McConico,0,1,54,40,2,4,0,1,Middleweight,U-DEC,,3,5:00
