fighter,fighter_url,record,nickname,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,raw_stats_json
Rafael Fiziev,http://ufcstats.com/fighter-details/c814b4c899793af6,14-5-0,Ataman,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.71,52%,4.81,,1.00,71%,90%,0.0,"{""Height"": ""5' 8\"""", ""Weight"": ""155 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Switch"", ""DOB"": ""Mar 05, 1993"", ""SLpM"": ""4.71"", ""Str. Acc."": ""52%"", ""SApM"": ""4.81"", ""Str. Def"": ""50%"", ""TD Avg."": ""1.00"", ""TD Acc."": ""71%"", ""TD Def."": ""90%"", ""Sub. Avg."": ""0.0""}"
Shara Magomedov,http://ufcstats.com/fighter-details/06734ca9d88dec3a,17-1-0,Bullet,"6' 2""",185 lbs.,"73""",Orthodox,"May 16, 1994",5.55,62%,3.62,,0.00,0%,73%,0.0,"{""Height"": ""6' 2\"""", ""Weight"": ""185 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 16, 1994"", ""SLpM"": ""5.55"", ""Str. Acc."": ""62%"", ""SApM"": ""3.62"", ""Str. Def"": ""45%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""73%"", ""Sub. Avg."": ""0.0""}"
Matheus Camilo,http://ufcstats.com/fighter-details/72f890c5d421e705,11-3-0,Jaguar,"5' 10""",155 lbs.,"69""",Orthodox,"Jan 02, 2001",2.22,43%,3.05,,4.16,53%,0%,0.6,"{""Height"": ""5' 10\"""", ""Weight"": ""155 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 02, 2001"", ""SLpM"": ""2.22"", ""Str. Acc."": ""43%"", ""SApM"": ""3.05"", ""Str. Def"": ""66%"", ""TD Avg."": ""4.16"", ""TD Acc."": ""53%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""0.6""}"
Asu Almabayev,http://ufcstats.com/fighter-details/8d3273573b85be09,24-3-0,Zulfikar,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.28,51%,1.94,,4.74,45%,44%,1.4,"{""Height"": ""5' 4\"""", ""Weight"": ""125 lbs."", ""Reach"": ""65\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 25, 1994"", ""SLpM"": ""2.28"", ""Str. Acc."": ""51%"", ""SApM"": ""1.94"", ""Str. Def"": ""53%"", ""TD Avg."": ""4.74"", ""TD Acc."": ""45%"", ""TD Def."": ""44%"", ""Sub. Avg."": ""1.4""}"
Ikram Aliskerov,http://ufcstats.com/fighter-details/b07aed698fba8624,18-2-0,,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",5.56,60%,4.01,,3.82,68%,100%,0.7,"{""Height"": ""6' 0\"""", ""Weight"": ""185 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Dec 07, 1992"", ""SLpM"": ""5.56"", ""Str. Acc."": ""60%"", ""SApM"": ""4.01"", ""Str. Def"": ""45%"", ""TD Avg."": ""3.82"", ""TD Acc."": ""68%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.7""}"
Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,29-7-1,,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",3.06,48%,3.34,,2.50,59%,100%,0.6,"{""Height"": ""6' 2\"""", ""Weight"": ""185 lbs."", ""Reach"": ""78\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Sep 02, 1990"", ""SLpM"": ""3.06"", ""Str. Acc."": ""48%"", ""SApM"": ""3.34"", ""Str. Def"": ""56%"", ""TD Avg."": ""2.50"", ""TD Acc."": ""59%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.6""}"
Farman Hasanov,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,6-0-0,The Lion,"5' 11""",170 lbs.,"74""",Orthodox,"Aug 01, 1995",1.40,51%,1.00,,17.00,62%,0%,0.0,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 01, 1995"", ""SLpM"": ""1.40"", ""Str. Acc."": ""51%"", ""SApM"": ""1.00"", ""Str. Def"": ""70%"", ""TD Avg."": ""17.00"", ""TD Acc."": ""62%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""0.0""}"
Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,10-0-0,The Hunter,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 03, 2001",8.64,68%,2.22,,11.11,75%,100%,7.4,"{""Height"": ""6' 2\"""", ""Weight"": ""205 lbs."", ""Reach"": ""78\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 03, 2001"", ""SLpM"": ""8.64"", ""Str. Acc."": ""68%"", ""SApM"": ""2.22"", ""Str. Def"": ""59%"", ""TD Avg."": ""11.11"", ""TD Acc."": ""75%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""7.4""}"
Nursulton Ruziboev,http://ufcstats.com/fighter-details/49d2a08964c5eb11,37-9-2 (2 NC),Black,"6' 5""",185 lbs.,"76""",Orthodox,"Nov 19, 1993",2.38,46%,2.68,,1.36,80%,33%,0.3,"{""Height"": ""6' 5\"""", ""Weight"": ""185 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 19, 1993"", ""SLpM"": ""2.38"", ""Str. Acc."": ""46%"", ""SApM"": ""2.68"", ""Str. Def"": ""49%"", ""TD Avg."": ""1.36"", ""TD Acc."": ""80%"", ""TD Def."": ""33%"", ""Sub. Avg."": ""0.3""}"
Kaan Ofli,http://ufcstats.com/fighter-details/7facc9c45d792985,15-4-1,Genghis,"5' 7""",145 lbs.,"66""",Orthodox,"Jun 19, 1993",2.49,47%,3.17,,0.34,7%,0%,0.7,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jun 19, 1993"", ""SLpM"": ""2.49"", ""Str. Acc."": ""47%"", ""SApM"": ""3.17"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.34"", ""TD Acc."": ""7%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""0.7""}"
Daniil Donchenko,http://ufcstats.com/fighter-details/70dd69b6a703257e,15-2-0,,"5' 11""",170 lbs.,"71""",Orthodox,"Aug 04, 2001",8.07,62%,2.80,,0.58,33%,75%,0.0,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 04, 2001"", ""SLpM"": ""8.07"", ""Str. Acc."": ""62%"", ""SApM"": ""2.80"", ""Str. Def"": ""70%"", ""TD Avg."": ""0.58"", ""TD Acc."": ""33%"", ""TD Def."": ""75%"", ""Sub. Avg."": ""0.0""}"
Jean Matsumoto,http://ufcstats.com/fighter-details/ffd3224638c01b57,18-2-0,,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 09, 1999",5.35,38%,5.29,,2.85,42%,56%,0.5,"{""Height"": ""5' 6\"""", ""Weight"": ""135 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Sep 09, 1999"", ""SLpM"": ""5.35"", ""Str. Acc."": ""38%"", ""SApM"": ""5.29"", ""Str. Def"": ""49%"", ""TD Avg."": ""2.85"", ""TD Acc."": ""42%"", ""TD Def."": ""56%"", ""Sub. Avg."": ""0.5""}"
Tahir Abdullayev,http://ufcstats.com/fighter-details/e047d3b541afd4a7,20-3-0,Tank,"5' 8""",170 lbs.,"73""",Orthodox,"Feb 02, 1997",2.56,42%,2.42,,2.07,33%,100%,0.0,"{""Height"": ""5' 8\"""", ""Weight"": ""170 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 02, 1997"", ""SLpM"": ""2.56"", ""Str. Acc."": ""42%"", ""SApM"": ""2.42"", ""Str. Def"": ""51%"", ""TD Avg."": ""2.07"", ""TD Acc."": ""33%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.0""}"
Manel Kape,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,23-7-0,StarBoy,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993",4.68,55%,3.88,,0.36,30%,78%,0.2,"{""Height"": ""5' 5\"""", ""Weight"": ""125 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Nov 14, 1993"", ""SLpM"": ""4.68"", ""Str. Acc."": ""55%"", ""SApM"": ""3.88"", ""Str. Def"": ""57%"", ""TD Avg."": ""0.36"", ""TD Acc."": ""30%"", ""TD Def."": ""78%"", ""Sub. Avg."": ""0.2""}"
Navajo Stirling,http://ufcstats.com/fighter-details/b4b496ec2197ee3e,10-0-0,,"6' 4""",205 lbs.,"79""",Orthodox,"Nov 07, 1997",6.24,54%,2.62,,0.86,26%,71%,0.0,"{""Height"": ""6' 4\"""", ""Weight"": ""205 lbs."", ""Reach"": ""79\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 07, 1997"", ""SLpM"": ""6.24"", ""Str. Acc."": ""54%"", ""SApM"": ""2.62"", ""Str. Def"": ""58%"", ""TD Avg."": ""0.86"", ""TD Acc."": ""26%"", ""TD Def."": ""71%"", ""Sub. Avg."": ""0.0""}"
