event_name,event_date,event_location,event_url,fight_url,fighter1,fighter1_url,fighter2,fighter2_url,result_raw,winner,kd_1,kd_2,str_1,str_2,td_1,td_2,sub_1,sub_2,weight_class,method,method_detail,round,time
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/c13dc0cccef263f7,Rafael Fiziev,http://ufcstats.com/fighter-details/c814b4c899793af6,Manuel Torres,http://ufcstats.com/fighter-details/2e7878927067fdca,win,Rafael Fiziev,1,0,25,22,2,0,0,0,Lightweight,KO/TKO,Punches,2,0:15
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/012c307c9d446c4d,Shara Magomedov,http://ufcstats.com/fighter-details/06734ca9d88dec3a,Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3,win,Shara Magomedov,0,1,52,35,0,0,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/809814f03ff3140c,Matheus Camilo,http://ufcstats.com/fighter-details/72f890c5d421e705,Nazim Sadykhov,http://ufcstats.com/fighter-details/ff62013d2fce6d13,win,Matheus Camilo,1,0,4,0,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:31
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/81cde317c156723b,Asu Almabayev,http://ufcstats.com/fighter-details/8d3273573b85be09,Charles Johnson,http://ufcstats.com/fighter-details/814e5233e2acf2ee,win,Asu Almabayev,0,0,28,21,6,0,1,1,Flyweight,SUB,Suloev Stretch,3,3:33
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/d83294b031502177,Ikram Aliskerov,http://ufcstats.com/fighter-details/b07aed698fba8624,Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a,win,Ikram Aliskerov,0,0,47,19,5,0,1,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/35985895d4ef321e,Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9,win,Abus Magomedov,1,0,10,5,0,0,1,0,Middleweight,SUB,Guillotine Choke,1,3:25
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/6a35ff33b8597904,Farman Hasanov,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,Eric Nolan,http://ufcstats.com/fighter-details/64b12fe31be7560c,win,Farman Hasanov,0,0,21,15,17,0,0,0,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/48b1ee7ab45add4c,Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,Julius Walker,http://ufcstats.com/fighter-details/6add18754930182b,win,Abdul Rakhman Yakhyaev,1,0,6,0,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:08
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/5e7f4ba1210f433d,Nursulton Ruziboev,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Andrey Pulyaev,http://ufcstats.com/fighter-details/22e07d3da1aa3475,win,Nursulton Ruziboev,0,0,1,2,2,0,1,0,Middleweight,SUB,Rear Naked Choke,1,3:58
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/1a7119f3996b5635,Kaan Ofli,http://ufcstats.com/fighter-details/7facc9c45d792985,Javier Reyes,http://ufcstats.com/fighter-details/4a574b8512fc1b30,win,Kaan Ofli,1,0,17,7,0,0,1,0,Featherweight,SUB,Arm Triangle,1,4:16
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/0e60ab32f3d03929,Daniil Donchenko,http://ufcstats.com/fighter-details/70dd69b6a703257e,Theodor Berggren,http://ufcstats.com/fighter-details/feef5f8f5629e5e7,win,Daniil Donchenko,2,0,71,23,0,0,0,0,Welterweight,KO/TKO,Punches,2,1:35
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/ae0a91c8f92f4758,Jean Matsumoto,http://ufcstats.com/fighter-details/ffd3224638c01b57,Bekzat Almakhan,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,win,Jean Matsumoto,0,1,79,69,2,0,0,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Fiziev vs. Torres,"June 27, 2026","Baku, Azerbaijan",http://ufcstats.com/event-details/31e1ea6fe6b682f8,http://ufcstats.com/fight-details/f1cb2e7ef096ec7c,Tahir Abdullayev,http://ufcstats.com/fighter-details/e047d3b541afd4a7,Jefferson Nascimento,http://ufcstats.com/fighter-details/4b85abc5abbe657c,win,Tahir Abdullayev,0,0,37,35,2,0,0,0,Welterweight,KO/TKO,Punches,3,4:28
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/33afdd7ad43a2756,Manel Kape,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,Kyoji Horiguchi,http://ufcstats.com/fighter-details/98aa60cf58071fd6,win,Manel Kape,1,0,19,27,0,2,0,0,Flyweight,KO/TKO,Punches,3,2:42
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/afc021700481ac4e,Navajo Stirling,http://ufcstats.com/fighter-details/b4b496ec2197ee3e,Ion Cutelaba,http://ufcstats.com/fighter-details/cd13728ae1151f46,win,Navajo Stirling,0,0,52,19,0,5,0,1,Light Heavyweight,KO/TKO,Punches,2,3:23
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/aaec28fa3c0c576d,Christian Rodriguez,http://ufcstats.com/fighter-details/5ec591b78349ba7e,Hyder Amil,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,win,Christian Rodriguez,1,0,20,23,1,0,1,0,Featherweight,SUB,Guillotine Choke,1,3:43
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/e4849375d1949c74,Murtazali Magomedov,http://ufcstats.com/fighter-details/d436f5d55156a521,Melsik Baghdasaryan,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,win,Murtazali Magomedov,0,0,5,3,1,0,1,0,Featherweight,SUB,Twister,1,1:17
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/571a3eabff5c7ba7,Vinicius Oliveira,http://ufcstats.com/fighter-details/18d01f7f8338ae72,Andre Fili,http://ufcstats.com/fighter-details/8fd808923cffff82,win,Vinicius Oliveira,1,0,105,40,0,0,0,0,Featherweight,KO/TKO,Elbows,2,4:56
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/17d31249c9ab18af,Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6,Andre Lima,http://ufcstats.com/fighter-details/b1f21ce050035d58,win,Kevin Borjas,0,0,51,51,0,0,0,0,Flyweight,U-DEC,,3,5:00
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/c0980a613f24accd,Bia Mesquita,http://ufcstats.com/fighter-details/eff9074bc066f0f2,Melissa Mullins,http://ufcstats.com/fighter-details/bd532e9a2b93870c,win,Bia Mesquita,0,0,3,10,0,1,1,0,Women's Bantamweight,SUB,Armbar,1,3:16
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/3b4803afa824fea3,Mitch Raposo,http://ufcstats.com/fighter-details/0be6776db31d98ec,Allan Nascimento,http://ufcstats.com/fighter-details/253076a23d03dcd0,win,Mitch Raposo,0,1,38,58,0,0,0,0,Flyweight,S-DEC,,3,5:00
UFC Fight Night: Kape vs. Horiguchi,"June 20, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c8661e204c66f325,http://ufcstats.com/fight-details/8b809ba1880aded0,Gaston Bolanos,http://ufcstats.com/fighter-details/96924b0019b3aff1,Michael Aswell Jr.,http://ufcstats.com/fighter-details/01c9e4013afce141,win,Gaston Bolanos,0,0,87,105,1,0,0,0,Featherweight,U-DEC,,3,5:00
