fighter,Height,Weight,Reach,STANCE,DOB
Rafael Fiziev,68,155.0,71,Switch,03/05/1993
Shara Magomedov,74,185.0,73,Orthodox,05/16/1994
Matheus Camilo,70,155.0,69,Orthodox,01/02/2001
Asu Almabayev,64,125.0,65,Orthodox,01/25/1994
Ikram Aliskerov,72,185.0,76,Southpaw,12/07/1992
Abus Magomedov,74,185.0,78,Orthodox,09/02/1990
Farman Hasanov,71,170.0,74,Orthodox,08/01/1995
Abdul Rakhman Yakhyaev,74,205.0,78,Orthodox,01/03/2001
Nursulton Ruziboev,77,185.0,76,Orthodox,11/19/1993
Kaan Ofli,67,145.0,66,Orthodox,06/19/1993
Daniil Donchenko,71,170.0,71,Orthodox,08/04/2001
Jean Matsumoto,66,135.0,68,Orthodox,09/09/1999
Tahir Abdullayev,68,170.0,73,Orthodox,02/02/1997
Manel Kape,65,125.0,68,Southpaw,11/14/1993
Navajo Stirling,76,205.0,79,Orthodox,11/07/1997
Christian Rodriguez,67,145.0,71,Orthodox,12/17/1997
Murtazali Magomedov,69,145.0,70,Orthodox,08/26/1999
Vinicius Oliveira,69,145.0,70,Switch,11/30/1995
Kevin Borjas,65,125.0,68,Orthodox,12/06/1997
Bia Mesquita,64,135.0,67,Orthodox,04/07/1991
Mitch Raposo,65,125.0,64,Switch,10/16/1998
Gaston Bolanos,67,145.0,69,Orthodox,09/14/1992
Levan Chokheli,71,170.0,72,Orthodox,10/02/1996
Luana Santos,66,135.0,67,Orthodox,04/16/2000
Shane Collins,69,145.0,71,Orthodox,03/08/2000
Justin Gaethje,71,155.0,70,Orthodox,11/14/1988
Ciryl Gane,76,247.0,81,Orthodox,04/12/1990
Sean O'Malley,71,135.0,72,Switch,10/24/1994
Josh Hokit,73,235.0,73,Orthodox,11/12/1997
Mauricio Ruffy,71,155.0,75,Orthodox,06/17/1996
Bo Nickal,73,185.0,76,Southpaw,01/14/1996
Diego Lopes,71,145.0,72,Orthodox,12/30/1994
Gabriel Bonfim,73,170.0,72,Orthodox,08/20/1997
Brendan Allen,74,185.0,75,Orthodox,12/28/1995
Tom Nolan,75,155.0,73,Southpaw,03/08/2000
Bryce Mitchell,70,135.0,70,Southpaw,10/04/1994
Iwo Baraniewski,72,205.0,73,Orthodox,11/20/1998
Alessandro Costa,64,125.0,67,Orthodox,01/28/1996
Marcus McGhee,68,135.0,69,Orthodox,05/07/1990
Edgar Chairez,67,125.0,71,Orthodox,01/27/1996
Chelsea Chandler,68,135.0,68,Southpaw,11/23/1990
Joanderson Brito,68,145.0,72,Orthodox,02/11/1995
Jeisla Chaves,66,125.0,68,Orthodox,02/02/1997
Ketlen Souza,63,115.0,63,Orthodox,08/18/1994
Song Yadong,68,135.0,67,Orthodox,12/02/1997
Alonzo Menifield,72,205.0,76,Orthodox,10/18/1987
Sergei Pavlovich,75,257.0,84,Southpaw,05/13/1992
Kai Asakura,68,135.0,69,Orthodox,10/31/1993
Jake Matthews,71,170.0,73,Orthodox,08/19/1994
Alex Perez,66,125.0,65,Orthodox,03/21/1992
Luis Felipe Dias,70,185.0,74,,01/17/1995
Jose Souza,75,170.0,79,Orthodox,05/23/2002
Cody Haddon,67,135.0,69,Orthodox,09/08/1998
Rei Tsuruya,66,125.0,68,Orthodox,06/22/2002
Angela Hill,63,115.0,64,Orthodox,01/12/1985
Rodrigo Vera,68,145.0,68,Orthodox,10/18/1995
Jaqueline Amorim,63,115.0,68,Orthodox,06/24/1995
Arnold Allen,68,145.0,70,Southpaw,01/22/1994
Dooho Choi,70,145.0,70,Orthodox,04/10/1991
Juan Diaz,68,135.0,69,Orthodox,06/03/1998
Modestas Bukauskas,75,205.0,76,Switch,02/10/1994
Benardo Sopaj,66,135.0,66,Orthodox,09/25/2000
Khaos Williams,72,170.0,77,Orthodox,03/30/1994
Ivan Erslan,74,205.0,72,Orthodox,11/15/1991
Tommy Gantt,71,155.0,76,Orthodox,01/09/1993
Ketlen Vieira,68,135.0,68,Orthodox,08/26/1991
Cody Brundage,72,185.0,72,Orthodox,05/16/1994
Alice Ardelean,63,115.0,62,Orthodox,04/19/1992
Luis Gurule,65,125.0,64,Orthodox,11/16/1993
Nicolle Caliari,63,115.0,62,Orthodox,11/04/1996
Sean Strickland,73,185.0,76,Orthodox,02/27/1991
Joshua Van,65,125.0,65,Orthodox,10/10/2001
Alexander Volkov,79,250.0,80,Orthodox,10/24/1988
Sean Brady,70,170.0,72,Orthodox,11/23/1992
King Green,70,155.0,71,Orthodox,09/09/1986
Ateba Gautier,76,185.0,81,Switch,04/10/2002
Yaroslav Amosov,72,170.0,75,Orthodox,09/09/1993
